date,odometer,gallons,cost,notes,tags,partial_fuelup,missed_fuelup,source,fuelio_unique_id
2023-08-02,89017,8.041,29.74,3.699/gal,Fuelio,0,0,Fuelio backup,
2023-08-12,89346,10.007,37.02,3.700/gal,Fuelio,0,0,Fuelio backup,
2023-08-14,89675,10.122,36.94,3.650/gal,Fuelio,0,0,Fuelio backup,
2023-09-02,89991,9.675,34.83,3.600/gal,Fuelio,0,0,Fuelio backup,
2023-09-25,90227,8.236,29.64,3.599/gal,Fuelio,0,0,Fuelio backup,
2023-09-26,90520,8.750,31.49,3.599/gal,Fuelio,0,0,Fuelio backup,
2023-11-12,90732,7.332,23.09,3.149/gal,Fuelio,0,0,Fuelio backup,
2023-11-19,91077,9.766,30.26,3.099/gal,Fuelio,0,0,Fuelio backup,
2023-11-22,91391,8.872,28.38,3.199/gal,Fuelio,0,0,Fuelio backup,
2023-12-09,91714,9.884,30.14,3.049/gal,Fuelio,0,0,Fuelio backup,
2024-02-10,91929,7.844,22.27,2.839/gal,Fuelio,0,0,Fuelio backup,
2024-02-18,92240,9.783,28.36,2.899/gal,Fuelio,0,0,Fuelio backup,
2024-03-02,92579,10.077,29.93,2.970/gal,Fuelio,0,0,Fuelio backup,
2024-04-19,93252,9.109,29.15,3.200/gal,Fuelio,0,0,Fuelio backup,
2024-04-21,93622,10.684,35.14,3.289/gal,Fuelio,0,0,Fuelio backup,
2024-04-28,93840,7.037,22.51,3.199/gal,Fuelio,0,0,Fuelio backup,
2024-04-28,94178,10.205,33.26,3.259/gal,Fuelio,0,0,Fuelio backup,
2024-04-29,94426,7.268,23.69,3.259/gal,Fuelio,0,0,Fuelio backup,
2024-04-29,94763,9.937,31.79,3.199/gal,Fuelio,0,0,Fuelio backup,
2024-05-09,95052,9.307,29.03,3.119/gal,Fuelio,0,0,Fuelio backup,
2024-05-25,95261,7.590,23.52,3.099/gal,Fuelio,0,0,Fuelio backup,
2024-05-25,95498,6.486,21.40,3.299/gal,Fuelio,0,0,Fuelio backup,
2024-06-16,96027,6.544,19.96,3.050/gal,Fuelio,0,0,Fuelio backup,
2024-06-16,96324,8.843,26.97,3.050/gal,Fuelio,0,0,Fuelio backup,
2024-06-16,96667,10.400,31.72,3.050/gal,Fuelio,0,0,Fuelio backup,
2024-06-30,96975,10.689,34.09,3.189/gal,Fuelio,0,0,Fuelio backup,
2024-07-17,97255,10.303,33.47,3.249/gal,Fuelio,0,0,Fuelio backup,
2024-07-20,97520,7.832,26.15,3.339/gal,Fuelio,0,0,Fuelio backup,
2024-07-28,97611,3.614,12.00,3.320/gal,Fuelio,0,0,Fuelio backup,
2024-07-28,97990,10.461,37.65,3.599/gal,Fuelio,0,0,Fuelio backup,
2024-07-28,98084,2.812,9.84,3.499/gal,Fuelio,0,0,Fuelio backup,
2024-07-28,98420,8.765,29.18,3.329/gal,Fuelio,0,0,Fuelio backup,
2024-08-02,98750,10.733,33.69,3.139/gal,Fuelio,0,0,Fuelio backup,
2024-08-22,99068,10.426,31.79,3.049/gal,Fuelio,0,0,Fuelio backup,
2024-08-31,99345,8.856,26.48,2.990/gal,Fuelio,0,0,Fuelio backup,
2024-09-22,99558,7.350,19.98,2.719/gal,Fuelio,0,0,Fuelio backup,
2024-09-22,99869,9.291,26.01,2.799/gal,Fuelio,0,0,Fuelio backup,
2024-09-22,100224,10.255,29.01,2.829/gal,Fuelio,0,0,Fuelio backup,
2024-09-22,100365,3.770,10.18,2.699/gal,Fuelio,0,0,Fuelio backup,
2024-09-26,100675,9.437,25.28,2.679/gal,Fuelio,0,0,Fuelio backup,
2024-09-29,101036,11.081,29.69,2.679/gal,Fuelio,0,0,Fuelio backup,
2024-10-10,101199,5.335,14.93,2.799/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-10-13,101494,8.781,24.14,2.749/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-11-11,,5.625,15.01,2.669/gal,Costco RegularGas,0,0,Costco receipt,
2024-11-13,101811,9.932,26.81,2.699/gal,Fuelio,0,0,Fuelio backup,
2024-11-13,101997,5.625,15.01,2.669/gal,Fuelio,0,0,Fuelio backup,
2024-11-13,102134,4.107,11.08,2.699/gal,Fuelio,0,0,Fuelio backup,
2024-11-16,,6.522,17.86,2.739/gal,Costco RegularGas,0,0,Costco receipt,
2024-11-27,102334,6.521,17.86,2.739/gal,Fuelio,0,0,Fuelio backup,
2024-11-27,102628,10.226,27.91,2.729/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-12-04,102908,9.373,25.58,2.729/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-12-08,103021,4.091,11.04,2.699/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-12-16,103184,5.959,16.08,2.699/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2024-12-23,103412,7.525,19.93,2.649/gal,Fuelio,0,0,Fuelio backup,
2024-12-23,103752,10.386,28.76,2.769/gal,Fuelio,0,0,Fuelio backup,
2024-12-26,,10.519,30.92,2.939/gal,Costco RegularGas,0,0,Costco receipt,
2024-12-29,,5.202,13.88,2.669/gal,Costco RegularGas,0,0,Costco receipt,
2024-12-31,104075,10.519,30.92,2.939/gal,Fuelio,0,0,Fuelio backup,
2024-12-31,104355,8.798,24.01,2.729/gal,Fuelio,0,0,Fuelio backup,
2024-12-31,104635,7.894,21.54,2.729/gal,Fuelio,0,0,Fuelio backup,
2024-12-31,104974,10.331,27.37,2.649/gal,Fuelio,0,0,Fuelio backup,
2024-12-31,105141,5.202,13.88,2.668/gal,Fuelio,0,0,Fuelio backup,
2025-01-16,105346,7.212,19.83,2.749/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-01-19,,6.198,17.29,2.789/gal,Costco RegularGas,0,0,Costco receipt,
2025-01-22,105538,6.198,17.29,2.789/gal,Fuelio,0,0,Fuelio backup,
2025-01-26,,6.462,18.28,2.829/gal,Costco RegularGas,0,0,Costco receipt,
2025-01-27,105731,6.462,18.28,2.829/gal,Fuelio,0,0,Fuelio backup,
2025-02-02,105851,4.029,11.16,2.769/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-02-11,,9.170,26.22,2.859/gal,Costco RegularGas,0,0,Costco receipt,
2025-02-11,106135,9.171,26.22,2.859/gal,Fuelio,0,0,Fuelio backup,
2025-03-01,106392,9.340,25.21,2.699/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-03-09,,8.406,21.26,2.529/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-11,,10.417,26.87,2.579/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-15,,3.568,9.17,2.569/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-21,,6.692,18.06,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-28,,9.314,25.14,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-30,,9.164,23.82,2.599/gal,Costco RegularGas,0,0,Costco receipt,
2025-03-30,106639,8.406,21.26,2.529/gal,Fuelio,0,0,Fuelio backup,
2025-03-30,106953,1.134,3.40,2.999/gal,Fuelio,1,0,Fuelio backup,
2025-03-30,107008,10.419,26.87,2.579/gal,Fuelio,0,0,Fuelio backup,
2025-03-30,107118,3.569,9.17,2.569/gal,Fuelio,0,0,Fuelio backup,
2025-03-30,107303,6.691,18.06,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-03-30,107582,9.315,25.14,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-04-03,,9.073,24.94,2.749/gal,Costco RegularGas,0,0,Costco receipt,
2025-04-03,107882,9.165,23.82,2.599/gal,Fuelio,0,0,Fuelio backup,
2025-04-03,108095,6.921,19.31,2.790/gal,Fuelio,0,0,Fuelio backup,
2025-04-03,108278,4.886,12.21,2.499/gal,Fuelio,0,0,Fuelio backup,
2025-04-03,108573,9.072,24.94,2.749/gal,Fuelio,0,0,Fuelio backup,
2025-04-13,,9.199,25.56,2.779/gal,Costco RegularGas,0,0,Costco receipt,
2025-05-04,,8.905,24.03,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2025-05-08,108844,9.199,25.56,2.779/gal,Fuelio,0,0,Fuelio backup,
2025-05-08,109094,8.905,24.03,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-05-25,,9.902,25.93,2.619/gal,Costco RegularGas,0,0,Costco receipt,
2025-06-04,,9.405,24.63,2.619/gal,Costco RegularGas,0,0,Costco receipt,
2025-07-19,109400,9.902,25.93,2.619/gal,Fuelio,0,0,Fuelio backup,
2025-07-19,109669,9.405,24.63,2.619/gal,Fuelio,0,0,Fuelio backup,
2025-08-10,109810,8.061,21.76,2.699/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-08-15,110186,9.625,26.94,2.799/gal,Fuelio,0,0,Fuelio backup,
2025-08-23,,8.009,21.30,2.659/gal,Costco RegularGas,0,0,Costco receipt,
2025-08-30,,7.634,20.60,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2025-08-30,110423,8.009,21.30,2.659/gal,Fuelio,0,0,Fuelio backup,
2025-09-01,110659,7.632,20.60,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-09-20,,10.557,27.97,2.649/gal,Costco RegularGas,0,0,Costco receipt,
2025-09-20,110939,10.560,27.97,2.649/gal,Fuelio,0,0,Fuelio backup,
2025-10-05,,6.518,17.46,2.679/gal,Costco RegularGas,0,0,Costco receipt,
2025-10-05,111128,6.520,17.46,2.679/gal,Fuelio,0,0,Fuelio backup,
2025-10-16,111424,10.415,27.59,2.649/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-10-18,,7.141,18.99,2.659/gal,Costco RegularGas,0,0,Costco receipt,
2025-10-19,,5.103,12.75,2.499/gal,Costco RegularGas,0,0,Costco receipt,
2025-10-19,111646,7.140,18.99,2.659/gal,Fuelio,0,0,Fuelio backup,
2025-10-19,111826,5.100,12.75,2.499/gal,Fuelio,0,0,Fuelio backup,
2025-10-27,112055,7.613,19.41,2.549/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-11-09,112264,7.894,20.44,2.589/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2025-11-15,,6.436,17.37,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2025-11-16,112456,6.436,17.37,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-11-24,,6.430,17.03,2.649/gal,Costco RegularGas,0,0,Costco receipt,
2025-11-30,,9.368,23.04,2.459/gal,Costco RegularGas,0,0,Costco receipt,
2025-11-30,112917,9.370,23.04,2.459/gal,Fuelio,0,0,Fuelio backup,
2025-12-07,,6.662,18.38,2.759/gal,Costco RegularGas,0,0,Costco receipt,
2025-12-07,113105,6.660,18.37,2.759/gal,Fuelio,0,0,Fuelio backup,
2025-12-21,,7.214,16.30,2.259/gal,Costco RegularGas,0,0,Costco receipt,
2025-12-23,113289,7.214,16.30,2.259/gal,Fuelio,0,0,Fuelio backup,
2025-12-23,113465,5.470,13.23,2.419/gal,Fuelio,0,0,Fuelio backup,
2025-12-23,113658,5.636,15.21,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-12-23,113864,6.403,17.28,2.699/gal,Fuelio,0,0,Fuelio backup,
2025-12-26,,10.105,25.56,2.529/gal,Costco RegularGas,0,0,Costco receipt,
2025-12-31,,8.054,20.37,2.529/gal,Costco RegularGas,0,0,Costco receipt,
2026-01-08,,8.816,21.68,2.459/gal,Costco RegularGas,0,0,Costco receipt,
2026-01-10,114192,10.105,25.56,2.529/gal,Fuelio,0,0,Fuelio backup,
2026-01-10,114509,10.027,25.36,2.529/gal,Fuelio,0,0,Fuelio backup,
2026-01-10,114776,8.177,19.78,2.419/gal,Fuelio,0,0,Fuelio backup,
2026-01-10,115025,8.054,20.37,2.529/gal,Fuelio,0,0,Fuelio backup,
2026-01-10,115299,8.816,21.68,2.459/gal,Fuelio,0,0,Fuelio backup,
2026-01-17,,5.468,13.28,2.429/gal,Costco RegularGas,0,0,Costco receipt,
2026-01-28,,8.741,21.76,2.489/gal,Costco RegularGas,0,0,Costco receipt,
2026-02-07,,4.794,12.22,2.549/gal,Costco RegularGas,0,0,Costco receipt,
2026-02-14,,4.192,11.10,2.649/gal,Costco RegularGas,0,0,Costco receipt,
2026-02-24,115446,5.468,13.28,2.429/gal,Fuelio,0,0,Fuelio backup,
2026-02-24,115697,8.741,21.76,2.489/gal,Fuelio,0,0,Fuelio backup,
2026-02-24,115823,4.790,12.22,2.549/gal,Fuelio,0,0,Fuelio backup,
2026-02-24,115942,4.190,11.10,2.649/gal,Fuelio,0,0,Fuelio backup,
2026-02-28,,9.901,26.72,2.699/gal,Costco RegularGas,0,0,Costco receipt,
2026-03-02,116228,9.900,26.72,2.699/gal,Fuelio,0,0,Fuelio backup,
2026-03-13,,7.359,24.28,3.299/gal,Costco RegularGas,0,0,Costco receipt,
2026-03-14,116437,7.360,24.28,3.299/gal,Fuelio,0,0,Fuelio backup,
2026-03-28,,9.859,36.96,3.749/gal,Costco RegularGas,0,0,Costco receipt,
2026-03-28,116729,9.860,36.96,3.749/gal,Fuelio,0,0,Fuelio backup,
2026-03-30,116886,4.985,18.89,3.789/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-03-31,117101,6.463,24.23,3.749/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-04-02,117436,10.838,39.76,3.669/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-04-06,117637,6.671,25.48,3.819/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-04-12,117755,4.220,16.03,3.799/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-04-21,117987,8.468,29.80,3.519/gal,Fuelio Costco,0,0,Fuelio backup + Costco receipt,
2026-04-26,118152,7.110,26.02,3.659/gal,Costco RegularGas,0,0,Costco receipt,
2026-05-03,118340,5.323,21.61,4.059/gal,Costco RegularGas,0,0,Costco receipt,
2026-05-10,118468,4.938,20.04,4.059/gal,Costco Regular,0,0,Costco receipt,
